"","mes","tipo","movimentacao"
"1",jun 2021,"conta_bradesco",NA
"2",jul 2021,"cartao_brasdesco",-900.6
"3",jul 2021,"conta_bradesco",-1492.06
"4",jul 2021,"conta_nubank_pf",-3507.91
"5",jul 2021,"conta_nubank_pj",-99.29
"6",ago 2021,"cartao_brasdesco",-1405.84
"7",ago 2021,"conta_bradesco",255.94
"8",ago 2021,"conta_nubank_pf",4164.66
"9",ago 2021,"conta_nubank_pj",4.22000000000004
"10",set 2021,"cartao_brasdesco",-1070.76
"11",set 2021,"conta_bradesco",-1778.5
"12",set 2021,"conta_nubank_pf",-1240.7
"13",set 2021,"conta_nubank_pj",7463.19
"14",out 2021,"cartao_brasdesco",-1567.78
"15",out 2021,"conta_bradesco",3050
"16",out 2021,"conta_nubank_pf",3696.72
"17",out 2021,"conta_nubank_pj",-7166.41
"18",nov 2021,"cartao_brasdesco",-1212.59
"19",nov 2021,"conta_bradesco",-608.41
"20",nov 2021,"conta_nubank_pf",-6554.55
"21",nov 2021,"conta_nubank_pj",1375.44
"22",dez 2021,"cartao_brasdesco",-1688.61
"23",dez 2021,"conta_bradesco",406.46
"24",dez 2021,"conta_nubank_pf",3434.16
"25",dez 2021,"conta_nubank_pj",284.04
"26",jan 2022,"cartao_brasdesco",-2076.08
"27",jan 2022,"conta_bradesco",-581.56
"28",jan 2022,"conta_nubank_pf",-2630.35
"29",jan 2022,"conta_nubank_pj",-483.61
"30",fev 2022,"cartao_brasdesco",-1593.16
"31",fev 2022,"conta_bradesco",-48.69
"32",fev 2022,"conta_nubank_pf",635.42
"33",fev 2022,"conta_nubank_pj",-1477.42
"34",mar 2022,"cartao_brasdesco",-2300.41
"35",mar 2022,"conta_bradesco",-98.21
"36",mar 2022,"conta_nubank_pf",-1565.42
"37",mar 2022,"conta_nubank_pj",16.0399999999999
"38",abr 2022,"cartao_brasdesco",-4339.62
"39",abr 2022,"conta_bradesco",-908.76
"40",abr 2022,"conta_nubank_pf",1142.11
"41",abr 2022,"conta_nubank_pj",-20.77
"42",mai 2022,"cartao_brasdesco",-1638.14
"43",mai 2022,"conta_bradesco",176.57
"44",mai 2022,"conta_nubank_pf",-1190.52
"45",mai 2022,"conta_nubank_pj",7.67000000000012
"46",jun 2022,"cartao_brasdesco",-205.92
"47",jun 2022,"conta_bradesco",-2669.55
"48",jun 2022,"conta_nubank_pf",319.63
"49",jun 2022,"conta_nubank_pj",-13.3199999999999
"50",jul 2022,"cartao_brasdesco",-73.98
